disease,symptom,weight,info_gain
URTI,live with 4 or more people,0.7136,2.8818
URTI,significantly increased sweating,0.6467,4.5145
URTI,pain,0.9962,20.388
URTI,e 54 - sensitive,0.5423,8.6855
URTI,e 54 - heavy,0.545,6.7571
URTI,feel pain - forehead,0.544,5.9043
URTI,feel pain - cheek(r),0.5474,3.6361
URTI,feel pain - temple(l),0.4589,2.0817
URTI,e 56 (4),0.1416,0.4581
URTI,pain radiate to another location - nowhere,1.0,23.6038
URTI,e 58 (3),0.143,0.3954
URTI,e 59 (3),0.1642,0.4815
URTI,cough that produces colored or more abundant sputum than usual,0.4121,4.9588
URTI,smoking,0.5754,11.0741
URTI,fever (either felt or measured with a thermometer),0.7008,9.051
URTI,sore throat,0.7793,3.3494
URTI,cough,0.6834,12.413
URTI,e 204 - n,0.9707,3.0182
URTI,exposed to secondhand cigarette smoke on a daily basis,0.632,3.0379
URTI,feel pain - top of the head,0.5462,3.2727
URTI,feel pain - temple(r),0.5199,2.7333
URTI,e 56 (7),0.1415,0.5221
URTI,e 58 (7),0.1411,0.4903
URTI,e 59 (2),0.1656,0.4978
URTI,e 56 (5),0.1431,0.4589
URTI,e 58 (2),0.1444,0.398
URTI,diffuse (widespread) muscle pain,0.5876,3.4885
URTI,nasal congestion or a clear runny nose,0.8079,8.0171
URTI,feel pain - cheek(l),0.5499,3.6301
URTI,feel pain - occiput,0.5481,1.5068
URTI,e 58 (5),0.1436,0.4049
URTI,e 59 (4),0.1687,0.4853
URTI,attend or work in a daycare,0.6145,2.3282
URTI,e 58 (4),0.142,0.3967
URTI,e 56 (6),0.1415,0.4696
URTI,e 59 (1),0.1646,0.5038
URTI,e 41,0.656,3.2716
URTI,e 56 (2),0.1443,0.466
URTI,e 59 (0),0.1699,0.751
URTI,e 56 (3),0.1418,0.4716
URTI,e 56 (8),0.1424,0.5473
URTI,e 58 (1),0.1427,0.2877
URTI,e 54 - tedious,0.6387,5.599
URTI,e 59 (5),0.167,0.464
URTI,e 58 (6),0.1393,0.4249
HIV (initial infection),significantly increased sweating,0.6204,4.5145
HIV (initial infection),pain,0.9971,20.388
HIV (initial infection),e 54 - sensitive,0.5983,8.6855
HIV (initial infection),feel pain - forehead,0.5978,5.9043
HIV (initial infection),feel pain - temple(l),0.6021,2.0817
HIV (initial infection),e 56 (4),0.1447,0.4581
HIV (initial infection),pain radiate to another location - nowhere,1.0,23.6038
HIV (initial infection),e 58 (3),0.1456,0.3954
HIV (initial infection),e 59 (3),0.1398,0.4815
HIV (initial infection),fever (either felt or measured with a thermometer),0.8408,9.051
HIV (initial infection),sore throat,0.5634,3.3494
HIV (initial infection),e 204 - n,0.9166,3.0182
HIV (initial infection),swollen or painful lymph nodes,0.7527,2.4759
HIV (initial infection),e 27,0.7177,1.0013
HIV (initial infection),diarrhea or an increase in stool frequency,0.5949,3.4266
HIV (initial infection),e 54 - exhausting,0.6239,5.0553
HIV (initial infection),feel pain - top of the head,0.6029,3.2727
HIV (initial infection),feel pain - temple(r),0.5969,2.7333
HIV (initial infection),e 56 (7),0.1412,0.5221
HIV (initial infection),e 58 (7),0.145,0.4903
HIV (initial infection),e 59 (2),0.1421,0.4978
HIV (initial infection),unprotected sex with more than one partner in the last 6 months,0.7168,0.9987
HIV (initial infection),"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",1.0,11.7506
HIV (initial infection),e 130 - pale,1.0,3.4887
HIV (initial infection),e 131 - n,1.0,13.3891
HIV (initial infection),e 132 (0),0.2012,2.5805
HIV (initial infection),e 133 - lower gum,0.762,1.1305
HIV (initial infection),e 133 - upper gum,0.7636,1.1354
HIV (initial infection),e 133 - labia majora(r),0.7652,1.1402
HIV (initial infection),e 133 - internal cheek(r),0.7576,1.1173
HIV (initial infection),e 133 - internal cheek(l),0.566,0.618
HIV (initial infection),e 134 (6),0.1398,0.0936
HIV (initial infection),e 135 - y,1.0,10.3408
HIV (initial infection),e 136 (0),1.0,6.0007
HIV (initial infection),feel like vomiting,0.6376,5.387
HIV (initial infection),involuntary weight loss over the last 3 months,0.6722,3.2873
HIV (initial infection),sexual intercourse with an hiv-positive partner in the past 12 months,0.7194,1.0061
HIV (initial infection),e 56 (5),0.1421,0.4589
HIV (initial infection),e 58 (2),0.1395,0.398
HIV (initial infection),e 59 (6),0.1419,0.4549
HIV (initial infection),e 132 (4),0.1991,0.2742
HIV (initial infection),diffuse (widespread) muscle pain,0.6347,3.4885
HIV (initial infection),feel pain - occiput,0.2278,1.5068
HIV (initial infection),e 58 (5),0.1428,0.4049
HIV (initial infection),e 59 (4),0.1426,0.4853
HIV (initial infection),e 58 (4),0.141,0.3967
HIV (initial infection),e 56 (6),0.1436,0.4696
HIV (initial infection),e 59 (1),0.1444,0.5038
HIV (initial infection),feel so tired that you are unable to do your usual activities or are you stuck in your bed all day long,0.6359,2.627
HIV (initial infection),e 56 (2),0.1429,0.466
HIV (initial infection),e 58 (8),0.1434,0.515
HIV (initial infection),e 59 (0),0.1454,0.751
HIV (initial infection),e 56 (3),0.1395,0.4716
HIV (initial infection),e 134 (3),0.1469,0.3726
HIV (initial infection),e 56 (8),0.1432,0.5473
HIV (initial infection),e 54 - tedious,0.6009,5.599
HIV (initial infection),e 59 (5),0.1439,0.464
HIV (initial infection),currently using intravenous drugs,0.5982,1.2967
HIV (initial infection),e 58 (6),0.1398,0.4249
HIV (initial infection),feel pain - back of the neck,0.2838,3.3589
HIV (initial infection),e 132 (3),0.1995,0.3118
HIV (initial infection),e 54 - a pulse,0.5972,1.3706
HIV (initial infection),feel pain - back of head,0.5985,2.8334
HIV (initial infection),e 134 (2),0.1405,0.3626
HIV (initial infection),e 132 (1),0.1987,0.3125
HIV (initial infection),e 132 (2),0.2015,0.3118
HIV (initial infection),e 134 (5),0.1438,0.141
HIV (initial infection),e 133 - labia majora(l),0.7596,1.1233
HIV (initial infection),e 133 - bottom lip(r),0.3342,0.2101
HIV (initial infection),e 134 (8),0.1414,0.0345
HIV (initial infection),feel pain - cervical spine,0.2639,0.7807
HIV (initial infection),e 134 (4),0.1426,0.1274
HIV (initial infection),e 134 (7),0.1449,0.0784
HIV (initial infection),e 133 - palace,0.0766,0.0089
HIV (initial infection),e 133 - upper lip(r),0.1661,0.0487
Pneumonia,pain,0.9846,20.388
Pneumonia,e 56 (4),0.1396,0.4581
Pneumonia,pain radiate to another location - nowhere,1.0,23.6038
Pneumonia,e 58 (3),0.1006,0.3954
Pneumonia,e 59 (3),0.1393,0.4815
Pneumonia,cough that produces colored or more abundant sputum than usual,0.8536,4.9588
Pneumonia,smoking,0.6448,11.0741
Pneumonia,fever (either felt or measured with a thermometer),0.6961,9.051
Pneumonia,cough,0.8276,12.413
Pneumonia,e 204 - n,0.9701,3.0182
Pneumonia,e 56 (7),0.1417,0.5221
Pneumonia,e 58 (7),0.0994,0.4903
Pneumonia,e 59 (2),0.14,0.4978
Pneumonia,"lesions, redness or problems on your skin that you believe are related to the condition you are consulting for",0.9934,11.7506
Pneumonia,e 132 (0),0.1473,2.5805
Pneumonia,e 136 (0),0.1718,6.0007
Pneumonia,e 54 - a knife stroke,0.7398,9.5684
Pneumonia,e 54 - sharp,0.515,10.1932
Pneumonia,feel pain - lower chest,0.253,6.3707
Pneumonia,feel pain - side of the chest(r),0.5308,5.4358
Pneumonia,feel pain - side of the chest(l),0.5272,4.7443
Pneumonia,feel pain - posterior chest wall(r),0.5185,3.7359
Pneumonia,feel pain - posterior chest wall(l),0.5273,3.3986
Pneumonia,e 56 (5),0.1412,0.4589
Pneumonia,e 58 (2),0.0989,0.398
Pneumonia,e 59 (6),0.1396,0.4549
Pneumonia,addiction to alcohol,0.6181,6.2613
Pneumonia,chills or shivers,0.6893,1.7233
Pneumonia,heart failure,0.7285,3.5963
Pneumonia,e 118,0.8055,3.7898
Pneumonia,chronic obstructive pulmonary disease (copd),0.7359,4.6812
Pneumonia,asthma or have you ever had to use a bronchodilator in the past,0.6153,8.2922
Pneumonia,e 130 - pink,0.9934,6.8587
Pneumonia,e 131 - y,0.9934,1.9333
Pneumonia,e 132 (4),0.1422,0.2742
Pneumonia,e 133 - side of the neck(l),0.1992,0.3605
Pneumonia,e 133 - flank(l),0.2252,0.0926
Pneumonia,e 134 (0),0.1743,2.6038
Pneumonia,e 135 - n,1.0,3.9451
Pneumonia,diffuse (widespread) muscle pain,0.6904,3.4885
Pneumonia,e 175,0.6068,2.9676
Pneumonia,nasal congestion or a clear runny nose,0.4187,8.0171
Pneumonia,e 58 (5),0.0984,0.4049
Pneumonia,e 59 (4),0.1426,0.4853
Pneumonia,e 58 (4),0.094,0.3967
Pneumonia,e 56 (6),0.1394,0.4696
Pneumonia,e 59 (1),0.1404,0.5038
Pneumonia,e 58 (9),0.0991,0.4141
Pneumonia,e 56 (1),0.1382,0.3478
Pneumonia,underweight,0.6188,2.5741
Pneumonia,e 56 (2),0.1427,0.466
Pneumonia,e 58 (8),0.0993,0.515
Pneumonia,e 59 (0),0.1597,0.751
Pneumonia,shortness of breath or difficulty breathing in a significant way,0.6839,10.3715
Pneumonia,e 56 (3),0.1417,0.4716
Pneumonia,e 133 - back of the neck,0.2596,2.264
Pneumonia,e 134 (3),0.1639,0.3726
Pneumonia,e 45,0.5227,4.6275
Pneumonia,feel pain - upper chest,0.2269,5.3575
Pneumonia,feel pain - breast(r),0.2496,6.0427
Pneumonia,feel pain - breast(l),0.2365,5.5486
Pneumonia,e 58 (1),0.1003,0.2877
Pneumonia,pain that is increased when you breathe in deeply,0.5263,5.5419
Pneumonia,e 59 (5),0.1384,0.464
Pneumonia,e 58 (6),0.0978,0.4249
Pneumonia,e 133 - cervical spine,0.2602,0.3261
Pneumonia,e 133 - thoracic spine,0.2577,0.1795
Pneumonia,e 134 (1),0.1661,0.3469
Pneumonia,e 209,0.4227,4.1077
Pneumonia,e 132 (3),0.1425,0.3118
Pneumonia,e 136 (3),0.1624,0.2137
Pneumonia,get full more quickly then usually,0.6666,2.8867
