symptom,information_gain,specificity,combined_score,p_yes_avg
pain does not radiate,0.9966,0.4898,0.8446,0.4656
shortness of breath or difficulty breathing in a significant way,0.9945,0.3265,0.7941,0.4565
cough,0.8753,0.5918,0.7902,0.2951
smoking,0.8262,0.6327,0.7682,0.2597
pain character: sharp,0.7823,0.6531,0.7435,0.2325
pain character: tender/sensitive,0.779,0.6327,0.7351,0.2306
pain,0.8985,0.3061,0.7208,0.6853
fever,0.7253,0.6939,0.7159,0.2017
skin lesions are not peeling,0.6614,0.8367,0.714,0.1716
pain character: stabbing,0.6968,0.7347,0.7082,0.1878
skin lesions or redness,0.6355,0.8367,0.6959,0.1605
nasal congestion or runny nose,0.6402,0.7551,0.6746,0.1625
asthma or have you ever had to use a bronchodilator in the past,0.6147,0.7959,0.6691,0.1519
lesion larger than 1cm,0.5854,0.8571,0.6669,0.1404
pain in lower chest,0.6095,0.7347,0.647,0.1499
addiction to alcohol,0.5746,0.7959,0.641,0.1363
pain in breast (right),0.5851,0.7551,0.6361,0.1403
pain in side of the chest (right),0.5678,0.7755,0.6301,0.1338
pain character: burning,0.5369,0.8367,0.6268,0.1226
pain character: heavy/pressure-like,0.5442,0.8163,0.6258,0.1252
feel like vomiting,0.5475,0.7959,0.622,0.1264
significantly overweight compared to people of the same height as you,0.536,0.8163,0.6201,0.1223
pain in breast (left),0.559,0.7551,0.6178,0.1306
pain in forehead,0.5297,0.8163,0.6157,0.1201
pain in upper abdomen,0.5265,0.8163,0.6135,0.119
pain in upper chest,0.5691,0.7143,0.6127,0.1343
pain in side of the chest (left),0.5397,0.7755,0.6104,0.1236
pain character: dull/aching,0.5197,0.8163,0.6087,0.1167
diabetes,0.4868,0.8571,0.5979,0.1057
pain character: exhausting,0.4723,0.8571,0.5878,0.101
non-restful sleep,0.472,0.8367,0.5814,0.1009
pain radiates to mid back,0.4531,0.8776,0.5805,0.0951
clinical evidence 214,0.4491,0.8776,0.5776,0.0938
swelling in one or more areas of your body,0.4314,0.9184,0.5775,0.0885
significantly increased sweating,0.4576,0.8571,0.5775,0.0965
high blood pressure or do you take medications to treat high blood pressure,0.4488,0.8776,0.5774,0.0937
rash is pink colored,0.4295,0.9184,0.5762,0.0879
symptoms that are increased with physical exertion but alleviated with rest,0.445,0.8776,0.5748,0.0926
"feel your heart is beating fast (racing), irregularly (missing a beat) or do you feel palpitations",0.4427,0.8776,0.5732,0.0919
angina (chest pain),0.4311,0.898,0.5712,0.0884
itching severity: 0/10,0.447,0.8571,0.5701,0.0932
clinical evidence 209,0.4542,0.8367,0.5689,0.0954
pain that is increased when you breathe in deeply,0.4276,0.898,0.5687,0.0874
clinical evidence 45,0.4324,0.8776,0.566,0.0888
more likely to develop common allergies than the general population,0.4205,0.898,0.5637,0.0853
productive cough with colored sputum,0.4126,0.898,0.5582,0.083
chronic obstructive pulmonary disease (copd),0.4105,0.898,0.5567,0.0824
pain character: pulling/tugging,0.4278,0.8571,0.5566,0.0874
pain in posterior chest wall (right),0.4052,0.8776,0.5469,0.0809
diarrhea,0.3988,0.8776,0.5425,0.0791
pain in posterior chest wall (left),0.395,0.8776,0.5397,0.078
pain character: cramping,0.3926,0.8776,0.5381,0.0773
clinical evidence 194,0.375,0.9184,0.538,0.0724
cold in the last 2 weeks,0.3829,0.898,0.5374,0.0746
feel lightheaded and dizzy or do you feel like you are about to faint,0.3821,0.898,0.5368,0.0744
widespread muscle pain,0.3753,0.898,0.5321,0.0725
pain character: violent,0.3653,0.9184,0.5312,0.0698
pain in back of head,0.3825,0.8776,0.531,0.0745
